Number_of_seats,Longitude,Latitude
60,144.967448834,-37.81207205
120,144.967413537,-37.81199863
50,144.968395364,-37.81247391
50,144.968545341,-37.81206254
70,144.968545341,-37.81206254
140,144.968545341,-37.81206254
65,144.968866705,-37.81199904
200,144.969273933,-37.81207228
60,144.969273933,-37.81207228
30,144.969787188,-37.8117044
100,144.969787188,-37.8117044
36,144.969787188,-37.8117044
6,144.969787188,-37.8117044
20,144.969787188,-37.8117044
40,144.970179716,-37.81194738
240,144.970257882,-37.81191192
90,144.969019497,-37.81158942
46,144.968197265,-37.81227474
50,144.96821685,-37.81232126
30,144.970856657,-37.81173103
130,144.971016838,-37.81168441
12,144.971016838,-37.81168441
45,144.971172796,-37.81165144
20,144.971698403,-37.81137862
120,144.971987482,-37.81136217
12,144.971987482,-37.81136217
8,144.972372089,-37.81129034
8,144.972445612,-37.81127094
45,144.972564821,-37.81123674
8,144.971333604,-37.81131293
35,144.971333604,-37.81131293
65,144.971372416,-37.81092152
100,144.971118632,-37.81101511
140,144.972438441,-37.81095264
18,144.972438441,-37.81095264
30,144.954977988,-37.81538888
1,144.954866448,-37.81514799
38,144.954866448,-37.81514799
8,144.955316545,-37.81478779
64,144.956659756,-37.81428332
70,144.956659756,-37.81428332
200,144.957156481,-37.81427957
55,144.959883611,-37.81379784
2,144.959763729,-37.81355497
32,144.959763729,-37.81355497
20,144.962292501,-37.81321522
70,144.961115578,-37.81307166
70,144.961176802,-37.81318338
20,144.961224431,-37.81329091
90,144.961271745,-37.81339624
45,144.961271745,-37.81339624
30,144.961271745,-37.81339624
100,144.960909817,-37.81365815
34,144.961082978,-37.81359935
18,144.961082978,-37.81359935
30,144.961337723,-37.81354482
14,144.960479202,-37.81352421
30,144.960479202,-37.81352421
4,144.962887714,-37.81261578
15,144.964317001,-37.81206007
53,144.96481375,-37.81244828
28,144.96481375,-37.81244828
90,144.964682175,-37.81216522
96,144.96458411,-37.81195545
86,144.964516497,-37.81180887
100,144.966362777,-37.8113331
100,144.966152161,-37.8114438
120,144.966227591,-37.81204552
80,144.966288572,-37.81203618
120,144.967139422,-37.81185665
36,144.967245886,-37.81156301
50,144.965259827,-37.81199694
160,144.965447985,-37.81186755
100,144.965779851,-37.81206267
90,144.968334334,-37.81099925
78,144.969529991,-37.81051241
10,144.969460672,-37.81037319
80,144.968769519,-37.81131354
180,144.969084968,-37.81124576
50,144.96765378,-37.81098407
100,144.96765378,-37.81098407
145,144.968004154,-37.81132924
400,144.967872632,-37.81158944
6,144.969493782,-37.81044488
32,144.969493782,-37.81044488
12,144.968162341,-37.810818
90,144.970505583,-37.81055842
7,144.971540661,-37.80982017
5,144.97072432,-37.81005822
12,144.97072432,-37.81005822
230,144.970984312,-37.81068648
156,144.971192368,-37.81059133
46,144.971423199,-37.81034113
54,144.971084696,-37.8103636
18,144.972068819,-37.81012834
8,144.972068819,-37.81012834
16,144.954289613,-37.81384941
22,144.95670737,-37.81318044
8,144.956593229,-37.81292535
240,144.956593229,-37.81292535
12,144.956026441,-37.81347798
60,144.956026441,-37.81347798
33,144.956026441,-37.81347798
6,144.956026441,-37.81347798
18,144.956026441,-37.81347798
45,144.956026441,-37.81347798
94,144.958623229,-37.81298225
12,144.958623229,-37.81298225
35,144.960712674,-37.81194892
30,144.961143873,-37.81201073
4,144.961143873,-37.81201073
22,144.960350578,-37.81187576
20,144.960350578,-37.81187576
16,144.960350578,-37.81187576
50,144.960259327,-37.81190214
56,144.965712827,-37.81065936
50,144.965712827,-37.81065936
46,144.965712827,-37.81065936
8,144.965712827,-37.81065936
28,144.965712827,-37.81065936
34,144.965712827,-37.81065936
20,144.965712827,-37.81065936
104,144.968916003,-37.80938459
80,144.967583456,-37.81012788
14,144.970741874,-37.80918556
19,144.970741874,-37.80918556
27,144.970741874,-37.80918556
28,144.970741874,-37.80918556
60,144.952905577,-37.81327436
15,144.952015322,-37.81360132
20,144.954256131,-37.81255558
36,144.954284029,-37.81261651
74,144.954960915,-37.81275305
24,144.955422129,-37.81301792
70,144.955513379,-37.8129915
16,144.956456869,-37.81270923
48,144.957370429,-37.81209183
60,144.959684286,-37.81181302
70,144.959684286,-37.81181302
60,144.963028388,-37.81073468
15,144.963028388,-37.81073468
38,144.963028388,-37.81073468
100,144.963028388,-37.81073468
70,144.963028388,-37.81073468
62,144.963028388,-37.81073468
100,144.963028388,-37.81073468
50,144.963028388,-37.81073468
125,144.963028388,-37.81073468
150,144.963028388,-37.81073468
20,144.963028388,-37.81073468
25,144.963028388,-37.81073468
200,144.964006311,-37.81153099
70,144.964203259,-37.81107901
52,144.96405697,-37.81076453
23,144.963760084,-37.81036646
45,144.968797432,-37.80884919
12,144.968432447,-37.8086199
20,144.968728935,-37.8091376
40,144.966913416,-37.80951804
10,144.966981379,-37.80966615
100,144.956698044,-37.81146407
35,144.959287049,-37.81068114
6,144.959247202,-37.8102505
4,144.96235037,-37.8096573
6,144.96235037,-37.8096573
44,144.962885698,-37.80963019
75,144.963219414,-37.80953359
14,144.963429224,-37.80945869
70,144.963226465,-37.80904421
46,144.963189112,-37.80895731
15,144.966466964,-37.80822514
5,144.951185027,-37.81189241
50,144.957453384,-37.80998546
70,144.957838462,-37.80971949
40,144.958002795,-37.8098814
101,144.957970543,-37.80968698
80,144.960246372,-37.8088113
12,144.959162971,-37.80896134
40,144.958521118,-37.80898056
16,144.958521118,-37.80898056
12,144.961016453,-37.80863029
12,144.961166766,-37.80895047
30,144.961166766,-37.80895047
34,144.961772234,-37.80817062
140,144.962937359,-37.80846031
8,144.962680282,-37.80779494
26,144.95724895,-37.80746124
36,144.95724895,-37.80746124
8,144.95724895,-37.80746124
10,144.95724895,-37.80746124
32,144.95724895,-37.80746124
26,144.95724895,-37.80746124
60,144.959642609,-37.80750483
135,144.959562062,-37.80735405
8,144.958380541,-37.80792292
20,144.958380541,-37.80792292
18,144.960016969,-37.8080668
100,144.960274772,-37.8071819
290,144.955096248,-37.82272182
70,144.965763553,-37.79725678
60,144.964660761,-37.79941126
12,144.964774755,-37.79900083
70,144.96673638,-37.79886216
100,144.966655835,-37.8004333
100,144.96671114,-37.8002813
48,144.96671114,-37.8002813
60,144.966819214,-37.79964256
20,144.966836017,-37.79954403
120,144.966847658,-37.79947888
15,144.966877457,-37.79929899
25,144.966919825,-37.79905522
20,144.967088685,-37.79818093
18,144.967135254,-37.79777584
70,144.969288676,-37.79712708
10,144.969673812,-37.79771073
24,144.969304461,-37.79758105
19,144.968717333,-37.79750718
112,144.967847247,-37.79850782
63,144.967847247,-37.79850782
35,144.967765916,-37.79763537
56,144.96818832,-37.79803233
44,144.96765318,-37.79828168
60,144.96845321,-37.79898694
10,144.96845321,-37.79898694
240,144.967877288,-37.79918351
20,144.967812402,-37.79900482
180,144.967889479,-37.80059842
34,144.967502314,-37.79916522
16,144.967482979,-37.79932307
70,144.967519883,-37.79953893
110,144.967425875,-37.79978756
36,144.967425875,-37.79978756
120,144.967357903,-37.80004641
20,144.967343267,-37.80014086
80,144.969890396,-37.7991853
6,144.971201292,-37.7971866
4,144.971192916,-37.79518921
45,144.971159206,-37.79538234
38,144.971149917,-37.79543652
108,144.971238934,-37.79476804
80,144.958081287,-37.80006447
4,144.958034068,-37.80033507
9,144.958034068,-37.80033507
120,144.959290144,-37.8002345
21,144.959290144,-37.8002345
40,144.962218443,-37.80045935
44,144.963651735,-37.80062153
10,144.963651735,-37.80062153
6,144.964246028,-37.80062902
6,144.964297997,-37.80099248
30,144.966466337,-37.80171961
95,144.966478599,-37.80165837
100,144.966511727,-37.80144719
48,144.966511727,-37.80144719
22,144.966497487,-37.80119183
22,144.966497487,-37.80119183
100,144.966506182,-37.80114371
52,144.965779235,-37.8008183
16,144.965693527,-37.80080855
70,144.967193763,-37.80103618
200,144.96733368,-37.80137798
60,144.96733368,-37.80137798
120,144.967255789,-37.80158169
28,144.967255789,-37.80158169
100,144.967245931,-37.80162733
17,144.967198683,-37.80191844
80,144.968606928,-37.8011634
64,144.966789462,-37.80305996
221,144.966823271,-37.80330641
100,144.966754156,-37.8035945
115,144.966745835,-37.80367032
50,144.966692596,-37.80403534
100,144.966708698,-37.80443919
29,144.966708698,-37.80443919
27,144.966708698,-37.80443919
14,144.966708698,-37.80443919
12,144.966708698,-37.80443919
16,144.967195216,-37.80324426
32,144.965959225,-37.80467821
30,144.966043682,-37.80409137
24,144.966053507,-37.80403148
75,144.966075176,-37.80397324
36,144.966084469,-37.80391207
9,144.966084469,-37.80391207
14,144.966122154,-37.80370014
62,144.964515147,-37.80448669
6,144.961082394,-37.80239397
8,144.961082394,-37.80239397
3,144.963522272,-37.80555355
100,144.963522272,-37.80555355
71,144.965708234,-37.80620054
38,144.965430608,-37.80670938
6,144.965509379,-37.80671771
6,144.961256278,-37.79739955
30,144.961256278,-37.79739955
30,144.961256278,-37.79739955
60,144.961256278,-37.79739955
40,144.943033713,-37.79859593
12,144.946705961,-37.79823417
10,144.946705961,-37.79823417
16,144.946516377,-37.79872945
4,144.94480444,-37.80234719
12,144.94480444,-37.80234719
190,144.943365782,-37.80205405
6,144.941825969,-37.80328671
11,144.94294144,-37.80430416
25,144.943106599,-37.80339871
20,144.948988405,-37.80488781
16,144.949022227,-37.80479898
25,144.948980085,-37.80473294
34,144.948980085,-37.80473294
12,144.94904111,-37.80470302
20,144.94905179,-37.80463841
18,144.949080445,-37.80435024
34,144.948916298,-37.80414282
8,144.949050964,-37.80386407
22,144.949214718,-37.80360442
18,144.949214718,-37.80360442
40,144.949092985,-37.80345715
36,144.949296601,-37.80323547
12,144.94941575,-37.80260905
35,144.948485264,-37.80271407
6,144.948485264,-37.80271407
20,144.948722881,-37.80272105
30,144.94843325,-37.79508461
50,144.950053468,-37.8041118
22,144.950053468,-37.8041118
38,144.949578391,-37.80483398
60,144.950604058,-37.80447502
15,144.949561253,-37.80497441
2,144.95381985,-37.80377438
52,144.955976713,-37.8039576
60,144.95646938,-37.80520079
60,144.956678665,-37.80573188
8,144.957399667,-37.80580596
32,144.957399667,-37.80580596
15,144.958157925,-37.80444392
12,144.958157925,-37.80444392
159,144.949965255,-37.80287876
16,144.956388719,-37.80130537
150,144.955880773,-37.80140174
40,144.954027292,-37.80139687
160,144.953044504,-37.80089993
50,144.954010307,-37.79937005
16,144.953356783,-37.79895215
35,144.952996474,-37.7986663
16,144.944913838,-37.80643102
16,144.945587496,-37.80800572
4,144.945587496,-37.80800572
60,144.949971079,-37.80546721
10,144.949586101,-37.80538597
8,144.951375943,-37.80563093
32,144.947796656,-37.80811247
20,144.946077088,-37.80936332
40,144.949239793,-37.80841976
50,144.952048875,-37.80775772
3,144.952412331,-37.80751855
16,144.952412331,-37.80751855
4,144.955613184,-37.8060678
25,144.955613184,-37.8060678
6,144.951694924,-37.8088619
10,144.94976102,-37.80931427
15,144.95011497,-37.80973327
30,144.95011497,-37.80973327
90,144.949341126,-37.80980393
15,144.934950501,-37.79900528
8,144.92951651,-37.79455957
130,144.92836466,-37.79442258
20,144.925613594,-37.79224051
10,144.91945494,-37.79170926
3760,144.91277644,-37.78908177
24,144.988193634,-37.81575893
50,144.988262637,-37.8163864
60,144.985600895,-37.81618643
30,144.987375697,-37.81635733
10,144.98763945,-37.81638773
8,144.988147894,-37.81042932
8,144.985634782,-37.81004787
170,144.983508305,-37.81582406
72,144.984311862,-37.81583771
51,144.984843531,-37.81608922
70,144.981932965,-37.80961157
40,144.981932965,-37.80961157
46,144.978714188,-37.80964052
10,144.978714188,-37.80964052
26,144.97468952,-37.80907181
53,144.97468952,-37.80907181
140,144.973531735,-37.80899182
40,144.973531735,-37.80899182
21,144.97362842,-37.80849789
58,144.974896523,-37.80862727
46,144.976265135,-37.80899185
47,144.975754973,-37.81162455
50,144.978279481,-37.81796693
9,144.979993082,-37.81680896
175,144.983318886,-37.81990618
4920,144.979884197,-37.82162593
12,144.975729209,-37.8354848
20,144.975729209,-37.8354848
36,144.975729209,-37.8354848
8,144.976052146,-37.83570497
14,144.976052146,-37.83570497
6,144.97621927,-37.83627605
16,144.97621927,-37.83627605
8,144.979828535,-37.84553928
60,144.957363361,-37.82783954
50,144.957886567,-37.8283325
30,144.963871454,-37.82865158
6,144.967179367,-37.82656389
70,144.966968571,-37.82712911
10,144.966728693,-37.82792248
8,144.967978916,-37.82843453
16,144.967978916,-37.82843453
30,144.966305543,-37.83070593
60,144.966305543,-37.83070593
40,144.968238227,-37.82094604
290,144.968643286,-37.82281838
60,144.966271746,-37.82067054
60,144.966271746,-37.82067054
60,144.966271746,-37.82067054
220,144.966271746,-37.82067054
80,144.966271746,-37.82067054
40,144.966271746,-37.82067054
120,144.966271746,-37.82067054
190,144.966271746,-37.82067054
85,144.967124153,-37.82038909
50,144.977544961,-37.83909997
50,144.979232364,-37.84371184
50,144.979371818,-37.84410468
32,144.94766247,-37.82459966
56,144.94766247,-37.82459966
60,144.946365432,-37.82488167
70,144.946365432,-37.82488167
30,144.94497456,-37.82470588
20,144.925391701,-37.82295301
43,144.925391701,-37.82295301
54,144.918795718,-37.82221191
12,144.90651397,-37.82410059
40,144.90651397,-37.82410059
40,144.920504006,-37.82476114
20,144.919471315,-37.82904887
23,144.919471315,-37.82904887
160,144.963385261,-37.82092643
60,144.963838104,-37.82082646
76,144.963838104,-37.82082646
60,144.96388384,-37.82193722
50,144.964605854,-37.82163817
30,144.961682369,-37.82195753
48,144.962163433,-37.82167968
110,144.962652471,-37.82222061
75,144.958669665,-37.82312301
32,144.958669665,-37.82312301
40,144.958669665,-37.82312301
300,144.958669665,-37.82312301
200,144.958669665,-37.82312301
70,144.958669665,-37.82312301
100,144.958669665,-37.82312301
0,144.961301037,-37.82387126
96,144.961301037,-37.82387126
40,144.966890765,-37.82169318
17,144.965853752,-37.82222635
2,144.965853752,-37.82222635
50,144.966267617,-37.8226151
12,144.966267617,-37.8226151
68,144.967321296,-37.82201846
6,144.959205927,-37.82620253
75,144.980381626,-37.83017209
130,144.98170899,-37.83431865
50,144.98170899,-37.83431865
15,144.980010618,-37.83804387
112,144.982673446,-37.8463373
60,144.958572147,-37.78493032
25,144.95756078,-37.79539794
9,144.95756078,-37.79539794
25,144.955828029,-37.79859221
51,144.923590699,-37.80665898
17,144.923590699,-37.80665898
48,144.950792137,-37.81450846
53,144.950792137,-37.81450846
12,144.94755965,-37.81650633
12,144.947457705,-37.81814378
52,144.947457705,-37.81814378
20,144.947457705,-37.81814378
10,144.947457705,-37.81814378
60,144.947457705,-37.81814378
14,144.947457705,-37.81814378
11,144.947457705,-37.81814378
20,144.947457705,-37.81814378
60,144.947457705,-37.81814378
8,144.947984864,-37.81925269
20,144.947984864,-37.81925269
20,144.947984864,-37.81925269
32,144.947984864,-37.81925269
100,144.945131951,-37.8188853
35,144.945131951,-37.8188853
80,144.945131951,-37.8188853
40,144.941270977,-37.81460673
44,144.94214861,-37.81434665
180,144.940668913,-37.8149277
100,144.940668913,-37.8149277
34,144.941851678,-37.81515728
140,144.941851678,-37.81515728
120,144.943620461,-37.81388538
160,144.943620461,-37.81388538
25,144.939017942,-37.81516472
97,144.939017942,-37.81516472
40,144.939017942,-37.81516472
260,144.939017942,-37.81516472
70,144.939017942,-37.81516472
129,144.939017942,-37.81516472
45,144.939017942,-37.81516472
72,144.939017942,-37.81516472
106,144.939017942,-37.81516472
16,144.939017942,-37.81516472
8,144.965464018,-37.818661
17,144.966077413,-37.81786692
160,144.969917621,-37.81784479
180,144.969917621,-37.81784479
16,144.969917621,-37.81784479
150,144.969917621,-37.81784479
100,144.969917621,-37.81784479
105,144.969917621,-37.81784479
36,144.969917621,-37.81784479
140,144.969917621,-37.81784479
75,144.969917621,-37.81784479
12,144.956601685,-37.81988484
10,144.958100062,-37.81936892
37,144.957712022,-37.81937993
35,144.958601159,-37.81946849
16,144.959510564,-37.81943285
202,144.957970182,-37.81970334
30,144.957637844,-37.81992762
110,144.959187559,-37.8192157
12,144.959187559,-37.8192157
220,144.960420586,-37.81864585
70,144.964550287,-37.81793185
60,144.964331579,-37.81741878
80,144.964331579,-37.81741878
20,144.963723796,-37.81771479
140,144.962854894,-37.81789895
60,144.962744504,-37.81786011
12,144.962437489,-37.81798973
10,144.965094991,-37.8176365
2,144.965902811,-37.81706291
31,144.965484392,-37.81710105
8,144.965484392,-37.81710105
25,144.965626371,-37.81760781
12,144.965997337,-37.81752037
50,144.965997337,-37.81752037
75,144.966353204,-37.81733219
10,144.966551699,-37.81724878
40,144.966551699,-37.81724878
10,144.966551699,-37.81724878
177,144.966931122,-37.81723927
277,144.96683471,-37.8170965
75,144.968375105,-37.8163579
50,144.968375105,-37.8163579
67,144.969086214,-37.81670922
28,144.972041157,-37.81584246
16,144.972041157,-37.81584246
80,144.971726234,-37.81546152
80,144.971392543,-37.81542975
100,144.971392543,-37.81542975
80,144.970399824,-37.81568875
80,144.96989484,-37.81599798
40,144.97358992,-37.81528647
80,144.974205236,-37.81477015
22,144.972835271,-37.8148555
6,144.972720932,-37.81546181
31,144.956362277,-37.81880462
60,144.955210542,-37.81936788
180,144.957550966,-37.8186626
60,144.959122102,-37.81858017
80,144.961222905,-37.81739636
12,144.961113133,-37.81745677
70,144.960868075,-37.81746814
26,144.959876637,-37.81797777
20,144.959876637,-37.81797777
20,144.959876637,-37.81797777
30,144.960818561,-37.81804618
16,144.962446259,-37.81728072
75,144.962446259,-37.81728072
170,144.963682791,-37.81726468
68,144.96389706,-37.81719967
50,144.96389706,-37.81719967
4,144.965474418,-37.81664469
7,144.965596579,-37.8166033
6,144.965596579,-37.8166033
25,144.966330419,-37.81584477
55,144.965651074,-37.81635062
6,144.965340705,-37.81620631
8,144.965340705,-37.81620631
50,144.96493308,-37.81662781
16,144.96493308,-37.81662781
120,144.966200687,-37.81642646
8,144.966622781,-37.8163275
108,144.96875533,-37.81543178
12,144.968307875,-37.81557288
60,144.967430384,-37.81584777
60,144.967430384,-37.81584777
8,144.970749815,-37.81492031
30,144.970749815,-37.81492031
70,144.970259815,-37.81468591
80,144.970007305,-37.81473508
44,144.970064625,-37.81485876
8,144.973355177,-37.81383756
470,144.972628061,-37.81430616
21,144.972628061,-37.81430616
36,144.972628061,-37.81430616
16,144.972628061,-37.81430616
70,144.972628061,-37.81430616
60,144.972628061,-37.81430616
28,144.954350497,-37.81867545
16,144.954350497,-37.81867545
12,144.954350497,-37.81867545
4,144.954350497,-37.81867545
4,144.954350497,-37.81867545
10,144.954568784,-37.81861166
12,144.954568784,-37.81861166
70,144.955605964,-37.81782672
33,144.956834774,-37.81767359
48,144.95726292,-37.81780327
220,144.957951436,-37.8176551
52,144.958333882,-37.81753764
88,144.960311215,-37.81680457
60,144.960522519,-37.81642893
85,144.96064227,-37.81669009
6,144.959441876,-37.81730297
10,144.959762303,-37.81703239
22,144.959762303,-37.81703239
24,144.959996472,-37.81679183
60,144.959996472,-37.81679183
20,144.959996472,-37.81679183
11,144.960489024,-37.81698962
20,144.960396851,-37.81629333
8,144.960089286,-37.81638817
70,144.960089286,-37.81638817
46,144.959550046,-37.81660734
120,144.959550046,-37.81660734
6,144.959289906,-37.8171369
90,144.959289906,-37.8171369
21,144.959289906,-37.8171369
90,144.962184429,-37.81615528
16,144.963497917,-37.81592157
16,144.963497917,-37.81592157
40,144.963293833,-37.81554941
6,144.962984386,-37.81570426
20,144.962811579,-37.81581721
21,144.964390052,-37.81526826
48,144.964466158,-37.81529156
79,144.965657674,-37.81541957
25,144.964193634,-37.81557613
190,144.965603432,-37.81483458
15,144.964225445,-37.81528948
34,144.966125777,-37.81528474
32,144.966125777,-37.81528474
53,144.965777374,-37.81507697
18,144.965777374,-37.81507697
20,144.965777374,-37.81507697
44,144.965777374,-37.81507697
80,144.967453742,-37.81479918
120,144.967094318,-37.81447237
20,144.968282738,-37.81399547
18,144.96937971,-37.81398457
50,144.96937971,-37.81398457
12,144.970281283,-37.8139675
200,144.970029111,-37.81354777
60,144.971624202,-37.81361885
137,144.972117238,-37.81324914
10,144.97289193,-37.81330535
14,144.971356093,-37.81310178
20,144.971695319,-37.81309819
20,144.973183635,-37.81260039
28,144.973183635,-37.81260039
20,144.973183635,-37.81260039
50,144.973183635,-37.81260039
14,144.973183635,-37.81260039
12,144.955552875,-37.81677365
80,144.954492589,-37.81732118
